gene_id,drug_id,phenotype,recommendation_summary,alternatives,evidence_level,source,guideline_version
CFTR,ivacaftor,ivacaftor responsive mutation,use ivacaftor according to standard dosing,strong,CPIC,2021
CFTR,ivacaftor,ivacaftor non-responsive mutation,do not use ivacaftor because clinical benefit is not expected,,strong,CPIC,2021
CYP2B6,efavirenz,ultrarapid metabolizer,use standard efavirenz dosing,,moderate,CPIC,2019
CYP2B6,efavirenz,rapid metabolizer,use standard efavirenz dosing,,moderate,CPIC,2019
CYP2B6,efavirenz,normal metabolizer,use standard efavirenz dosing,,strong,CPIC,2019
CYP2B6,efavirenz,intermediate metabolizer,consider reduced efavirenz dose (400 mg daily),,strong,CPIC,2019
CYP2B6,efavirenz,poor metabolizer,consider reduced efavirenz dose (200–400 mg daily) to reduce toxicity,,strong,CPIC,2019
CYP2B6,methadone,rapid metabolizer,use standard methadone dosing titration and monitoring,,moderate,CPIC,2024
CYP2B6,methadone,normal metabolizer,use standard methadone dosing titration and monitoring,,strong,CPIC,2024
CYP2B6,methadone,intermediate metabolizer,use standard methadone dosing titration and monitoring,,moderate,CPIC,2024
CYP2B6,methadone,poor metabolizer,use standard methadone dosing titration and monitoring,,moderate,CPIC,2024
CYP2C19,clopidogrel,ultrarapid metabolizer,use standard clopidogrel dose (75 mg/day),,strong,CPIC,2022
CYP2C19,clopidogrel,rapid metabolizer,use standard clopidogrel dose (75 mg/day),,strong,CPIC,2022
CYP2C19,clopidogrel,normal metabolizer,use standard clopidogrel dose (75 mg/day),,strong,CPIC,2022
CYP2C19,clopidogrel,intermediate metabolizer,avoid standard dose clopidogrel if possible,prasugrel|ticagrelor,strong,CPIC,2022
CYP2C19,clopidogrel,poor metabolizer,avoid clopidogrel and use alternative antiplatelet therapy,prasugrel|ticagrelor,strong,CPIC,2022
CYP2C19,omeprazole,ultrarapid metabolizer,increase starting dose by 100 percent and monitor efficacy,,optional,CPIC,2020
CYP2C19,omeprazole,rapid metabolizer,start standard dose consider increase 50 to 100 percent if needed,,moderate,CPIC,2020
CYP2C19,omeprazole,normal metabolizer,use standard dose,,moderate,CPIC,2020
CYP2C19,omeprazole,intermediate metabolizer,start standard dose consider dose reduction in chronic therapy,,optional,CPIC,2020
CYP2C19,omeprazole,poor metabolizer,start standard dose consider dose reduction in chronic therapy,,moderate,CPIC,2020
CYP2C19,lansoprazole,ultrarapid metabolizer,increase starting dose by 100 percent and monitor efficacy,,optional,CPIC,2020
CYP2C19,lansoprazole,rapid metabolizer,start standard dose consider increase 50 to 100 percent if needed,,moderate,CPIC,2020
CYP2C19,lansoprazole,normal metabolizer,use standard dose,,moderate,CPIC,2020
CYP2C19,lansoprazole,intermediate metabolizer,start standard dose consider dose reduction in chronic therapy,,optional,CPIC,2020
CYP2C19,lansoprazole,poor metabolizer,start standard dose consider dose reduction in chronic therapy,,moderate,CPIC,2020
CYP2C19,pantoprazole,ultrarapid metabolizer,increase starting dose by 100 percent and monitor efficacy,,optional,CPIC,2020
CYP2C19,pantoprazole,rapid metabolizer,start standard dose consider increase 50 to 100 percent if needed,,moderate,CPIC,2020
CYP2C19,pantoprazole,normal metabolizer,use standard dose,,moderate,CPIC,2020
CYP2C19,pantoprazole,intermediate metabolizer,start standard dose consider dose reduction in chronic therapy,,optional,CPIC,2020
CYP2C19,pantoprazole,poor metabolizer,start standard dose consider dose reduction in chronic therapy,,moderate,CPIC,2020
CYP2C19,dexlansoprazole,ultrarapid metabolizer,increase starting dose by 100 percent and monitor efficacy,,optional,CPIC,2020
CYP2C19,dexlansoprazole,rapid metabolizer,use standard dose monitor efficacy,,optional,CPIC,2020
CYP2C19,dexlansoprazole,normal metabolizer,use standard dose,,optional,CPIC,2020
CYP2C19,dexlansoprazole,intermediate metabolizer,use standard dose consider dose reduction in chronic therapy,,optional,CPIC,2020
CYP2C19,dexlansoprazole,poor metabolizer,use standard dose consider dose reduction in chronic therapy,,optional,CPIC,2020
CYP2C19,voriconazole,ultrarapid metabolizer,avoid voriconazole because therapeutic concentrations are unlikely,isavuconazole|liposomal amphotericin B|posaconazole,moderate,CPIC,2017
CYP2C19,voriconazole,rapid metabolizer,avoid voriconazole due to low probability of achieving therapeutic concentrations,isavuconazole|liposomal amphotericin B|posaconazole,moderate,CPIC,2017
CYP2C19,voriconazole,normal metabolizer,use standard voriconazole dosing,,strong,CPIC,2017
